"Date","month","day","year","hour","DayofWeek","weekdays","peakhour","temperature"
"5/30/2016","5",30,2016,21,1,1,0,68
"5/30/2016","5",30,2016,22,1,1,0,67
"5/30/2016","5",30,2016,23,1,1,0,66
"5/31/2016","5",31,2016,0,2,1,0,66
"5/31/2016","5",31,2016,1,2,1,0,65
"5/31/2016","5",31,2016,2,2,1,0,65
"5/31/2016","5",31,2016,3,2,1,0,64
"5/31/2016","5",31,2016,4,2,1,0,64
"5/31/2016","5",31,2016,5,2,1,0,64
"5/31/2016","5",31,2016,6,2,1,0,64
"5/31/2016","5",31,2016,7,2,1,1,66
"5/31/2016","5",31,2016,8,2,1,1,69
"5/31/2016","5",31,2016,9,2,1,1,71
"5/31/2016","5",31,2016,10,2,1,1,71
"5/31/2016","5",31,2016,11,2,1,1,72
"5/31/2016","5",31,2016,12,2,1,1,74
"5/31/2016","5",31,2016,13,2,1,1,75
"5/31/2016","5",31,2016,14,2,1,1,76
"5/31/2016","5",31,2016,15,2,1,1,76
"5/31/2016","5",31,2016,16,2,1,1,78
"5/31/2016","5",31,2016,17,2,1,1,78
"5/31/2016","5",31,2016,18,2,1,1,76
"5/31/2016","5",31,2016,19,2,1,1,74
"5/31/2016","5",31,2016,20,2,1,0,72
"5/31/2016","5",31,2016,21,2,1,0,70
"5/31/2016","5",31,2016,22,2,1,0,70
"5/31/2016","5",31,2016,23,2,1,0,69
