"Date","hour","temperature","kWh"
20160613,17,71,155.510815399026
20160613,18,70,153.309578609104
20160613,19,70,152.160402341804
20160613,20,69,86.2719939189443
20160613,21,67,84.4383132923453
20160613,22,65,82.6086488855491
20160613,23,63,80.7823081337308
20160614,0,61,58.8147010053775
20160614,1,60,57.9177009039378
20160614,2,59,57.0268616712774
20160614,3,58,56.1420685485733
20160614,4,57,55.2632050097698
20160614,5,56,54.3901526042293
20160614,6,56,53.982455491533
20160614,7,58,94.7144577902478
20160614,8,61,96.2815765438791
20160614,9,64,97.7622015704048
20160614,10,67,99.1620201253921
20160614,11,69,99.8022581423581
20160614,12,71,100.406569154706
20160614,13,73,100.976490332472
20160614,14,75,101.513463530163
20160614,15,75,100.752540017368
20160614,16,75,99.9973202267421
20160614,17,75,99.2477614043859
20160614,18,74,97.8782940708222
20160614,19,73,96.5193569652241
20160614,20,71,54.3779156486616
20160614,21,68,52.875742716145
20160614,22,66,51.7411043548846
20160614,23,65,50.9825080368416
20160615,0,64,53.7373899203551
20160615,1,63,52.9374421717398
20160615,2,62,52.1431664048515
20160615,3,61,51.3544663189937
20160615,4,61,50.9695240704463
20160615,5,60,50.1921730428971
20160615,6,61,50.2082742823825
20160615,7,65,89.2888348704188
20160615,8,68,90.5377118284522
20160615,9,71,91.7192102012479
20160615,10,74,92.8373595547776
20160615,11,76,93.3150868924224
20160615,12,77,93.1919878127061
20160615,13,78,93.0616009134394
20160615,14,78,92.3640307802688
20160615,15,79,92.2276069794672
20160615,16,79,91.5362882889311
20160615,17,78,90.3025369290417
20160615,18,77,89.0784647830129
20160615,19,75,87.3133574734033
20160615,20,74,49.5276731517089
20160615,21,72,48.5213574450197
20160615,22,70,47.5180772064291
20160615,23,69,46.8409270322582
20160616,0,68,92.0635894042044
20160616,1,67,90.7332880289398
20160616,2,65,88.767220006674
20160616,3,63,86.8047234217412
20160616,4,62,85.5023014414412
20160616,5,61,84.2090222423164
20160616,6,61,83.5778091718001
20160616,7,64,147.542520457107
20160616,8,68,150.711087170446
20160616,9,71,152.677835618778
20160616,10,74,154.539131881806
20160616,11,76,155.334367424802
20160616,12,76,154.17001376758
20160616,13,77,153.966636291904
20160616,14,77,152.812534858791
20160616,15,77,151.667084326614
20160616,16,76,149.599224867699
20160616,17,75,147.547433920563
20160616,18,74,145.51150496815
20160616,19,72,142.554965651132
20160616,20,71,80.8413389115926
20160616,21,68,78.6081221784245
20160616,22,66,76.9213034909009
20160616,23,65,75.7935305464535
20160617,0,63,90.3307856287696
20160617,1,63,89.6536851110268
20160617,2,62,88.3085171812106
20160617,3,61,86.9727921018777
20160617,4,60,85.6463447680597
20160617,5,60,85.0043578310308
20160617,6,60,84.3671830926826
20160617,7,63,148.991237984815
20160617,8,65,150.084107201471
20160617,9,66,150.042371495951
20160617,10,67,149.984303453679
20160617,11,67,148.860052747623
20160617,12,67,147.744229187747
20160617,13,68,147.671435493634
20160617,14,67,145.537611307593
20160617,15,67,144.446692068028
20160617,16,67,143.363950129001
20160617,17,67,142.289324195192
20160617,18,66,140.218443530263
20160617,19,64,137.149743056334
20160617,20,63,77.7110805774995
20160617,21,61,75.9566595564297
20160617,22,59,74.2039590927133
20160617,23,59,73.6477418654356
20160618,0,58,88.3652040754494
20160618,1,58,87.7028371424767
20160618,2,58,87.0454351723363
20160618,3,57,85.6828017466359
20160618,4,57,85.0405415357845
20160618,5,57,84.403095572017
20160618,6,58,84.4647367657657
20160618,7,60,148.113227574547
20160618,8,63,150.44667385995
20160618,9,64,150.439167648854
20160618,10,66,151.50807547438
20160618,11,67,151.449440188605
20160618,12,67,150.31420712659
20160618,13,68,150.240147202391
20160618,14,68,149.113978745553
20160618,15,69,149.025212107968
20160618,16,69,147.908150548361
20160618,17,69,146.799462246609
20160618,18,67,143.679291752234
20160618,19,65,140.565955212664
20160618,20,63,79.0628475046124
20160618,21,62,77.8765849793024
20160618,22,61,76.6986498155152
20160618,23,61,76.1237329127254
20160619,0,60,91.3604875052551
20160619,1,60,90.6756685594167
20160619,2,59,89.2809750246299
20160619,3,58,87.8957472499461
20160619,4,57,86.5198028027437
20160619,5,56,85.1529562372853
20160619,6,57,85.2275956898055
20160619,7,60,150.689624158089
20160619,8,63,153.063660221569
20160619,9,66,155.30767828156
20160619,10,68,156.342996035339
20160619,11,70,157.320586051127
20160619,12,71,157.196032366009
20160619,13,70,154.97094153367
20160619,14,69,152.76254830271
20160619,15,69,151.617472459214
20160619,16,68,149.441968062686
20160619,17,68,148.321782588339
20160619,18,66,145.139007733739
20160619,19,65,143.011068675538
20160619,20,62,79.8296167894846
20160619,21,62,79.2312308185986
20160619,22,62,78.6373302227469
20160619,23,62,78.0478813805044
20160620,0,62,94.4074762162355
20160620,1,62,93.6998176856486
20160620,2,62,92.9974636141575
