"Date","hour","temperature","kWh"
"12/6/2014",11,39.02,91.4075290676976
"12/6/2014",12,39.02,90.7223575082284
"12/6/2014",13,39.56,90.6315830398053
"12/6/2014",14,39.92,90.3397966308684
"12/6/2014",15,41,90.8058082399324
"12/6/2014",16,41,90.1251470528816
"12/6/2014",17,41,89.4495879585331
"12/6/2014",18,39.02,86.7178447204105
"12/6/2014",19,39.02,86.0678260457248
"12/6/2014",20,39.02,49.1331667396083
"12/6/2014",21,39.02,48.7648748842219
"12/6/2014",22,37.94,47.7588827904798
"12/6/2014",23,37.94,47.4008922777309
"12/7/2014",0,37.22,49.8756340793389
"12/7/2014",1,35.78,48.5834186249342
"12/7/2014",2,37.22,49.1307219663679
"12/7/2014",3,37.22,48.762448436486
"12/7/2014",4,35.96,47.6123324760013
"12/7/2014",5,35.06,46.6903958249599
"12/7/2014",6,33.89,45.5999309481259
"12/7/2014",7,33.98,78.7846522192987
"12/7/2014",8,33.98,78.1940990824412
"12/7/2014",9,33.98,77.6079726073462
"12/7/2014",10,33.98,77.0262396126907
"12/7/2014",11,33.98,76.4488671658721
"12/7/2014",12,33.98,75.8758225811433
"12/7/2014",13,35.96,77.3586914715106
"12/7/2014",14,37.04,77.8647089321572
"12/7/2014",15,35.96,76.2033091413521
"12/7/2014",16,32,71.5580467955581
"12/7/2014",17,30.02,68.9010499746758
"12/7/2014",18,28.04,66.2055816256502
"12/7/2014",19,26.06,63.4648207381859
"12/7/2014",20,24.08,34.8963319913758
"12/7/2014",21,23,33.8886332414913
"12/7/2014",22,21.92,32.875575157854
"12/7/2014",23,21.02,31.9863234465142
"12/8/2014",0,19.67,61.341432937402
"12/8/2014",1,19.94,61.2768269557788
"12/8/2014",2,19.04,59.4989157731446
"12/8/2014",3,19.04,59.0529244492044
"12/8/2014",4,19.04,58.6102761821661
"12/8/2014",5,17.96,56.5809252336706
"12/8/2014",6,19.04,57.7349087712331
"12/8/2014",7,19.04,99.6252162546475
"12/8/2014",8,19.94,101.069754285576
"12/8/2014",9,21.02,102.855006446612
"12/8/2014",10,21.02,102.084027011055
"12/8/2014",11,21.92,103.355012735033
"12/8/2014",12,23,104.948673829016
"12/8/2014",13,24.08,106.455326766338
"12/8/2014",14,24.08,105.657360088995
"12/8/2014",15,24.89,106.524946723228
"12/8/2014",16,24.98,105.907723498037
"12/8/2014",17,26.06,107.246722782368
"12/8/2014",18,26.06,106.442823967399
"12/8/2014",19,26.33,106.16301811164
"12/8/2014",20,25.79,60.0117141404146
"12/8/2014",21,24.89,58.5661989717792
"12/8/2014",22,25.43,58.7223381031416
"12/8/2014",23,27.635,60.6282294537517
"12/9/2014",0,30.32,76.635865045437
